name,stars,score,time,area
霸王别姬,"张国荣,张丰毅,巩俐",9.5,1993-01-01,Unknow
肖申克的救赎,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",9.5,1994-10-14,美国
罗马假日,"格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",9.1,1953-09-02,美国
这个杀手不太冷,"让·雷诺,加里·奥德曼,娜塔莉·波特曼",9.5,1994-09-14,法国
泰坦尼克号,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",9.5,1998-04-03,Unknow
唐伯虎点秋香,"周星驰,巩俐,郑佩佩",9.1,1993-07-01,中国香港
千与千寻,"柊瑠美,入野自由,夏木真理",9.3,2001-07-20,日本
魂断蓝桥,"费雯·丽,罗伯特·泰勒,露塞尔·沃特森",9.2,1940-05-17,美国
乱世佳人,"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",9.1,1939-12-15,美国
喜剧之王,"周星驰,莫文蔚,张柏芝",9.2,1999-02-13,中国香港
天空之城,"寺田农,鹫尾真知子,龟山助清",9.1,1992,Unknow
辛德勒的名单,"连姆·尼森,拉尔夫·费因斯,本·金斯利",9.2,1993-12-15,美国
大闹天宫,"邱岳峰,毕克,富润生",9.0,1965-12-31,Unknow
音乐之声,"朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克",9.0,1965-03-02,美国
春光乍泄,"张国荣,梁朝伟,张震",9.2,1997-05-30,中国香港
剪刀手爱德华,"约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特",8.8,1990-12-06,美国
美丽人生,"罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼",9.3,1997-12-20,意大利
海上钢琴师,"蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩",9.2,1998-10-28,意大利
黑客帝国,"基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩",9.0,2000-01-14,Unknow
哈利·波特与魔法石,"丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",9.1,2002-01-26,Unknow
加勒比海盗,"约翰尼·德普,凯拉·奈特莉,奥兰多·布鲁姆",8.9,2003-11-21,Unknow
指环王3：王者无敌,"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",9.2,2004-03-15,Unknow
射雕英雄传之东成西就,"张国荣,梁朝伟,张学友",8.9,1993-02-05,中国香港
无间道,"刘德华,梁朝伟,黄秋生",9.1,2003-09-05,Unknow
楚门的世界,"金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",8.9,1998-06-01,美国
蝙蝠侠：黑暗骑士,"克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特",9.3,2008-07-18,美国
教父2,"阿尔·帕西诺,罗伯特·德尼罗,黛安·基顿",9.0,1974-12-12,美国
指环王2：双塔奇兵,"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",9.1,2003-04-25,Unknow
机器人总动员,"本·贝尔特,艾丽莎·奈特,杰夫·格尔林",9.3,2008-06-27,美国
天堂电影院,"菲利浦·诺瓦雷,赛尔乔·卡斯特利托,蒂兹亚娜·罗达托",9.2,1988-11-17,意大利
活着,"葛优,巩俐,牛犇",9.0,1994-05-18,法国
拯救大兵瑞恩,"汤姆·汉克斯,马特·达蒙,汤姆·塞兹摩尔",8.9,1998-07-24,美国
哈尔的移动城堡,"倍赏千惠子,木村拓哉,美轮明宏",9.0,2004-11-20,日本
阿凡达,"萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",9.1,2010-01-04,Unknow
盗梦空间,"莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",9.2,2010-09-01,Unknow
忠犬八公的故事,"Forest,理查·基尔,琼·艾伦",9.3,2010-03-12,英国
搏击俱乐部,"爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",8.8,1999-10-15,美国
东邪西毒,"张国荣,梁朝伟,刘嘉玲",8.8,1994-09-17,Unknow
幽灵公主,"松田洋治,石田百合子,田中裕子",8.9,1998-05-01,Unknow
风之谷,"岛本须美,永井一郎,坂本千夏",8.9,1992,Unknow
当幸福来敲门,"威尔·史密斯,贾登·史密斯,坦迪·牛顿",8.9,2008-01-17,Unknow
疯狂原始人,"尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹",9.5,2013-04-20,Unknow
十二怒汉,"亨利·方达,李·科布,马丁·鲍尔萨姆",9.1,1957-04-13,美国
V字仇杀队,"娜塔莉·波特曼,雨果·维文,斯蒂芬·瑞",8.8,2006-03-17,美国
放牛班的春天,"热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,玛丽·布奈尔",8.8,2004-10-16,Unknow
勇敢的心,"梅尔·吉布森,苏菲·玛索,帕特里克·麦高汉",8.8,1995-05-24,美国
